id,created_at,user_id,log_data,updated_at
1,2025-11-18 21:45:39.76525+00,d8820dfe-b678-4648-a5a0-77d942464814,"{""meals"":""2 rougabo from bites of xian in downtown brooklyn"",""sleep"":"""",""habits"":"""",""macros"":""P 68g / C 136g / F 44g (conf 0.75)"",""workout"":"""",""calories"":1240,""timestamp"":""2025-11-18T21:45:39.339805+00:00"",""estimation_notes"":""Estimate for 2 Rou Jia Mo (Chinese meat burgers) based on typical ingredients and portion sizes.""}",
3,2025-11-21 20:51:37.647605+00,c3650a98-16ba-4c06-9811-a6b994d5726e,"{""meals"":""I had a bowl of chinese chicken soup noodles with half a boiled egg and some bok choi"",""sleep"":""I got 8hrs of sleep"",""habits"":"""",""macros"":""P 35g / C 55g / F 15g (conf 0.7)"",""workout"":""I did 40 min of elliptical cardio "",""calories"":520,""timestamp"":""2025-11-21T20:51:37.336400+00:00"",""estimation_notes"":""Estimates based on a standard bowl of Chinese chicken noodle soup. Actual values can vary.""}",
4,2025-11-21 20:55:49.367168+00,8d1e4fb1-89af-4602-916d-31ae9f772c69,"{""meals"":""10 pc fried chicken"",""sleep"":""8hrs"",""habits"":"""",""macros"":""P 190g / C 105g / F 136g (conf 0.75)"",""workout"":""back workout"",""calories"":2400,""timestamp"":""2025-11-21T20:55:49.088365+00:00"",""estimation_notes"":""Assumes a typical mix of fried chicken cuts (drumsticks, thighs, breasts, wings) and common fast-food preparation.""}",
5,2025-11-24 18:47:55.866468+00,c3650a98-16ba-4c06-9811-a6b994d5726e,"{""meals"":""I ate a bowl of chicken porridge with a hard boiled egg from Hainan Jones in Dekalb market with a small side of baked brussel sprouts and scallop potatoes  "",""sleep"":""slept 7 hours"",""habits"":"""",""macros"":""P 45g / C 115g / F 50g (conf 0.7)"",""workout"":""I did a back workout for 30 min and 30 min of cardio today"",""calories"":970,""timestamp"":""2025-11-24T18:47:48.551156+00:00"",""estimation_notes"":""Assumed a large bowl of chicken porridge and generous, richer servings for baked brussels sprouts and scallop potatoes. Scallop potatoes' macros can vary widely.""}",
6,2025-11-27 04:46:10.975982+00,c3650a98-16ba-4c06-9811-a6b994d5726e,"{""meals"":""I had big mac"",""sleep"":"""",""habits"":"""",""macros"":""P 25g / C 46g / F 30g (conf 0.95)"",""workout"":"""",""calories"":550,""timestamp"":""2025-11-27T04:46:10.786467+00:00"",""estimation_notes"":""Standard McDonald's Big Mac.""}",
7,2025-12-01 20:01:52.717181+00,c3650a98-16ba-4c06-9811-a6b994d5726e,"{""meals"":""I had a breakfast burrito"",""sleep"":""I slept 8 hrs"",""habits"":""I went to the sauna"",""macros"":""P 28g / C 70g / F 33g (conf 0.75)"",""calories"":640,""timestamp"":""2025-12-01T20:01:37.234464+00:00"",""estimation_notes"":""Assumes a large breakfast burrito with flour tortilla, 2 eggs, cheese, and potatoes. Does not include meat (e.g., bacon, sausage) or sauces, which would increase values.""}",
8,2025-12-02 14:45:14.763046+00,c3650a98-16ba-4c06-9811-a6b994d5726e,"{""meals"":""I had a breakfast burrito for dinner and a slice of blueberry pie"",""sleep"":""I slept 8 hours"",""habits"":""I went to the sauna"",""macros"":""P 44g / C 125g / F 75g (conf 0.7)"",""workout"":""I hit a good chest and triceps workout for 30min and cardio on elliptical for 30min"",""calories"":1250,""timestamp"":""2025-12-02T14:44:57.918808+00:00"",""estimation_notes"":""Assumes a typical large breakfast burrito with eggs, cheese, meat, and potatoes, and a standard slice of blueberry pie.""}",
9,2025-12-02 16:51:58.348724+00,c3650a98-16ba-4c06-9811-a6b994d5726e,"{""meals"":""I ate a burger for lunch"",""sleep"":""I got a good 8 hours"",""habits"":""none"",""macros"":""P 25g / C 30g / F 20g (conf 0.6)"",""workout"":""I hit a back day for 30 min"",""calories"":400,""timestamp"":""2025-12-02T16:51:41.820631+00:00"",""estimation_notes"":""Assumes a standard plain beef burger (e.g., quarter-pound patty) with bun and basic condiments.""}",
10,2025-12-03 20:57:46.565797+00,c3650a98-16ba-4c06-9811-a6b994d5726e,"{""meals"":""I ate a fried chicken sandwich"",""sleep"":""I slept 8 hours"",""habits"":""I went ot the sauna"",""macros"":""P 30g / C 52g / F 36g (conf 0.9)"",""workout"":""I worked out my back for 30 min"",""calories"":650,""timestamp"":""2025-12-03T20:57:28.767976+00:00"",""estimation_notes"":""Assumes a standard fast-food style fried chicken sandwich with bun and minimal condiments.""}",
11,2025-12-04 22:04:46.22276+00,c3650a98-16ba-4c06-9811-a6b994d5726e,"{""meals"":""I had a bowl of rice noodles with pork and fish balls"",""sleep"":""I slept 8 hours"",""habits"":""none"",""macros"":""P 45g / C 70g / F 25g (conf 0.75)"",""workout"":""I did 30 min of elliptical cardio"",""calories"":650,""timestamp"":""2025-12-04T22:04:46.079754+00:00"",""estimation_notes"":""Estimates based on a standard bowl with rice noodles (1.5 cups cooked), 3-4 oz lean pork, 4 fish balls, and some cooking oil.""}",
