user_id,quality,metadata,id,time_asleep,created_at,date_inferred,progress_log_id,log_data
d8820dfe-b678-4648-a5a0-77d942464814,unknown,"{""macros"":{""raw_string"":""P 68g / C 136g / F 44g (conf 0.75)""},""bedtime"":null,""wake_time"":null,""llm_method"":""health_interpretation_v1"",""hours_slept"":null,""llm_date_phrase"":null,""estimation_notes"":""Estimate for 2 Rou Jia Mo (Chinese meat burgers) based on typical ingredients and portion sizes."",""llm_quality_score"":null,""original_sleep_text"":"""",""source_log_timestamp"":""2025-11-18T21:45:39.339805+00:00"",""source_progress_log_id"":1}",1,,2025-11-18 21:45:39.76525+00,2025-11-18,1,
c3650a98-16ba-4c06-9811-a6b994d5726e,unknown,"{""macros"":{""raw_string"":""P 35g / C 55g / F 15g (conf 0.7)""},""bedtime"":null,""wake_time"":null,""llm_method"":""health_interpretation_v1"",""hours_slept"":null,""llm_date_phrase"":null,""estimation_notes"":""Estimates based on a standard bowl of Chinese chicken noodle soup. Actual values can vary."",""llm_quality_score"":null,""original_sleep_text"":""I got 8hrs of sleep"",""source_log_timestamp"":""2025-11-21T20:51:37.336400+00:00"",""source_progress_log_id"":3}",2,,2025-11-21 20:51:37.647605+00,2025-11-21,3,
8d1e4fb1-89af-4602-916d-31ae9f772c69,unknown,"{""macros"":{""raw_string"":""P 190g / C 105g / F 136g (conf 0.75)""},""bedtime"":null,""wake_time"":null,""llm_method"":""health_interpretation_v1"",""hours_slept"":null,""llm_date_phrase"":null,""estimation_notes"":""Assumes a typical mix of fried chicken cuts (drumsticks, thighs, breasts, wings) and common fast-food preparation."",""llm_quality_score"":null,""original_sleep_text"":""8hrs"",""source_log_timestamp"":""2025-11-21T20:55:49.088365+00:00"",""source_progress_log_id"":4}",3,,2025-11-21 20:55:49.367168+00,2025-11-21,4,
c3650a98-16ba-4c06-9811-a6b994d5726e,unknown,"{""macros"":{""raw_string"":""P 45g / C 115g / F 50g (conf 0.7)""},""bedtime"":null,""wake_time"":null,""llm_method"":""health_interpretation_v1"",""hours_slept"":null,""llm_date_phrase"":null,""estimation_notes"":""Assumed a large bowl of chicken porridge and generous, richer servings for baked brussels sprouts and scallop potatoes. Scallop potatoes' macros can vary widely."",""llm_quality_score"":null,""original_sleep_text"":""slept 7 hours"",""source_log_timestamp"":""2025-11-24T18:47:48.551156+00:00"",""source_progress_log_id"":5}",4,,2025-11-24 18:47:55.866468+00,2025-11-24,5,
c3650a98-16ba-4c06-9811-a6b994d5726e,unknown,"{""macros"":{""raw_string"":""P 25g / C 46g / F 30g (conf 0.95)""},""bedtime"":null,""wake_time"":null,""llm_method"":""health_interpretation_v1"",""hours_slept"":null,""llm_date_phrase"":null,""estimation_notes"":""Standard McDonald's Big Mac."",""llm_quality_score"":null,""original_sleep_text"":"""",""source_log_timestamp"":""2025-11-27T04:46:10.786467+00:00"",""source_progress_log_id"":6}",5,,2025-11-27 04:46:10.975982+00,2025-11-27,6,
c3650a98-16ba-4c06-9811-a6b994d5726e,unknown,"{""macros"":{""raw_string"":""P 28g / C 70g / F 33g (conf 0.75)""},""bedtime"":null,""wake_time"":null,""llm_method"":""health_interpretation_v1"",""hours_slept"":null,""llm_date_phrase"":null,""estimation_notes"":""Assumes a large breakfast burrito with flour tortilla, 2 eggs, cheese, and potatoes. Does not include meat (e.g., bacon, sausage) or sauces, which would increase values."",""llm_quality_score"":null,""original_sleep_text"":""I slept 8 hrs"",""source_log_timestamp"":""2025-12-01T20:01:37.234464+00:00"",""source_progress_log_id"":7}",6,,2025-12-01 20:01:52.717181+00,2025-12-01,7,
c3650a98-16ba-4c06-9811-a6b994d5726e,unknown,"{""macros"":{""raw_string"":""P 44g / C 125g / F 75g (conf 0.7)""},""bedtime"":null,""wake_time"":null,""llm_method"":""health_interpretation_v1"",""hours_slept"":null,""llm_date_phrase"":null,""estimation_notes"":""Assumes a typical large breakfast burrito with eggs, cheese, meat, and potatoes, and a standard slice of blueberry pie."",""llm_quality_score"":null,""original_sleep_text"":""I slept 8 hours"",""source_log_timestamp"":""2025-12-02T14:44:57.918808+00:00"",""source_progress_log_id"":8}",7,,2025-12-02 14:45:14.763046+00,2025-12-02,8,
c3650a98-16ba-4c06-9811-a6b994d5726e,good,"{""macros"":{""raw_string"":""P 25g / C 30g / F 20g (conf 0.6)""},""bedtime"":null,""wake_time"":null,""llm_method"":""health_interpretation_v1"",""hours_slept"":null,""llm_date_phrase"":null,""estimation_notes"":""Assumes a standard plain beef burger (e.g., quarter-pound patty) with bun and basic condiments."",""llm_quality_score"":null,""original_sleep_text"":""I got a good 8 hours"",""source_log_timestamp"":""2025-12-02T16:51:41.820631+00:00"",""source_progress_log_id"":9}",8,,2025-12-02 16:51:58.348724+00,2025-12-02,9,
c3650a98-16ba-4c06-9811-a6b994d5726e,unknown,"{""macros"":{""raw_string"":""P 30g / C 52g / F 36g (conf 0.9)""},""bedtime"":null,""wake_time"":null,""llm_method"":""health_interpretation_v1"",""hours_slept"":null,""llm_date_phrase"":null,""estimation_notes"":""Assumes a standard fast-food style fried chicken sandwich with bun and minimal condiments."",""llm_quality_score"":null,""original_sleep_text"":""I slept 8 hours"",""source_log_timestamp"":""2025-12-03T20:57:28.767976+00:00"",""source_progress_log_id"":10}",9,,2025-12-03 20:57:46.565797+00,2025-12-03,10,
c3650a98-16ba-4c06-9811-a6b994d5726e,unknown,"{""macros"":{""raw_string"":""P 45g / C 70g / F 25g (conf 0.75)""},""bedtime"":null,""wake_time"":null,""llm_method"":""health_interpretation_v1"",""hours_slept"":null,""llm_date_phrase"":null,""estimation_notes"":""Estimates based on a standard bowl with rice noodles (1.5 cups cooked), 3-4 oz lean pork, 4 fish balls, and some cooking oil."",""llm_quality_score"":null,""original_sleep_text"":""I slept 8 hours"",""source_log_timestamp"":""2025-12-04T22:04:46.079754+00:00"",""source_progress_log_id"":11}",10,,2025-12-04 22:04:46.22276+00,2025-12-04,11,
